seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fit_warnings,fallback_reason,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256
0,transfer,beta_0p1_C_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,320,15,120,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.07855808292515576,,,,,,,,,,,,,,,,,,
0,transfer,beta_0p1_C_warmup_only,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0027626249939203262,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,320,35,280,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08261920802760869,,,,,,,,,,,,,,,,,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,11,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0026767499512061477,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,320,15,120,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08313154196366668,,,,,,,,,,,,,,,,,,
0,transfer,beta_0p1_C_warmup_only,public_coverage,logistic,logistic,False,False,True,False,,False,False,2048,"[1531,517]",True,11,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0026420409558340907,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_C_warmup_only,public_coverage,mlp,mlp,True,True,True,True,,False,False,2048,"[1531,517]",True,320,25,200,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08400237490423024,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,SEX,logistic,logistic,False,False,True,False,120,False,False,2993,"[1512,1481]",True,10,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002913750009611249,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,SEX,mlp_0,mlp,False,False,False,False,120,False,False,2993,"[1512,1481]",True,1440,20,240,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.33804562501609325,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,SEX,mlp_1,mlp,True,True,True,False,120,False,False,2993,"[1512,1481]",True,1440,15,180,359160,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1270000,1970000,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3288135420298204,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_20,histgb,False,False,False,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.0853844159282744,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,SEX,hist_gb_5,histgb,False,False,True,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.08709475002251565,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,1440,10,120,359160,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,,2000000,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,beta_0p1_C_warmup_only,SEX,saved_adversary,saved_adversary,False,False,True,False,120,False,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,beta_0p1_C_warmup_only,RAC1P,logistic,logistic,False,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,68,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.019282707944512367,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,RAC1P,mlp_0,mlp,True,True,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,15,180,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4043811250012368,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,RAC1P,mlp_1,mlp,False,False,False,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,25,300,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4056386669399217,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,RAC1P,hist_gb_20,histgb,False,False,False,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6426337090088055,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,RAC1P,hist_gb_5,histgb,False,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.7058077089022845,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_C_warmup_only,RAC1P,catchup,catchup,False,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,5,60,359160,3624877d3b4201fe3962bc2b1901c955a75f75204b84ab4226b8daad02481bd2,,2000001,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102
0,audit,beta_0p1_C_warmup_only,RAC1P,saved_adversary,saved_adversary,False,False,True,False,120,False,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102
0,transfer,beta_0p1_D_warmup_only,same_residence,logistic,logistic,False,False,True,False,,False,False,2048,"[500,1548]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0029993329662829638,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,320,20,160,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08104508300311863,,,,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,commute_over20,logistic,logistic,True,True,True,True,,False,False,2048,"[997,1051]",True,10,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0025172920431941748,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,320,15,120,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.07797604205552489,,,,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,14,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002799291047267616,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,320,35,280,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08142341708298773,,,,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002896833000704646,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,320,15,120,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08194212499074638,,,,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,10,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0026989999460056424,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_D_warmup_only,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,320,25,200,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08421674999408424,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,SEX,logistic,logistic,False,False,True,False,120,False,False,2993,"[1512,1481]",True,11,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002915290999226272,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,SEX,mlp_0,mlp,False,False,False,False,120,False,False,2993,"[1512,1481]",True,1440,20,240,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.33341137506067753,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,SEX,mlp_1,mlp,True,True,True,False,120,False,False,2993,"[1512,1481]",True,1440,15,180,359160,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1270000,1970000,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3320112091023475,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,SEX,hist_gb_20,histgb,False,False,False,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.08562012505717576,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,SEX,hist_gb_5,histgb,False,False,True,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.0897545840125531,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,SEX,catchup,catchup,False,False,True,True,120,False,False,2993,"[1512,1481]",True,1440,5,60,359160,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,,2000000,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,beta_0p1_D_warmup_only,SEX,saved_adversary,saved_adversary,False,False,True,False,120,False,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f
0,audit,beta_0p1_D_warmup_only,RAC1P,logistic,logistic,False,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,75,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.020161084015853703,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,RAC1P,mlp_0,mlp,False,True,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,25,300,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.42803424992598593,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,RAC1P,mlp_1,mlp,False,False,False,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,25,300,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.42936316691339016,,,,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,RAC1P,hist_gb_20,histgb,False,False,False,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6512372909346595,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,RAC1P,hist_gb_5,histgb,False,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.6865673750871792,,[],,,,,,,,,,,,,,,,
0,audit,beta_0p1_D_warmup_only,RAC1P,catchup,catchup,True,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,5,60,359160,3624877d3b4201fe3962bc2b1901c955a75f75204b84ab4226b8daad02481bd2,,2000001,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102
0,audit,beta_0p1_D_warmup_only,RAC1P,saved_adversary,saved_adversary,False,False,True,False,120,False,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102
0,transfer,beta_0p1_C_persistent,same_residence,logistic,logistic,False,False,True,False,,False,False,2048,"[500,1548]",True,9,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002755999914370477,,[],,,,,,,,,,,,,,,,
0,transfer,beta_0p1_C_persistent,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,320,10,80,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.09406020794995129,,,,,,,,,,,,,,,,,,
